0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Antwann Jones,UNC Greensboro,SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18.0,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2.0,12.5,Sr,6-6,0,-0.637174,73.009,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2.0,5.0,1.0,5.0,0.4,0.2,0.0,0.0,,,115.683,115.258,0.628861,10.8614,-9.17195,-7.25601,-1.91594,-8.87585,11.4857,-5.76936,-3.1065,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.8505,1999-05-29
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10.0,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,6-1,11,1.11067,109.117,3.1,2026,67572,"Houston, TX",,1.73166481,16.0,34.0,24.0,77.0,0.4706,0.3117,0.0,0.0,,,109.822,110.489,1.53661,88.5456,-1.04684,0.328704,-1.37554,-0.00976265,18.6323,0.672925,-0.682687,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,1999-10-15
Doctor Bradley,Bethune Cookman,SWAC,8,14.0,103.4,30.0,55.2,54.04,8.7,29.3,28.0,17.0,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.27474,109.002,3.9,2026,70326,"Los Angeles, CA",,1.375,32.0,51.0,2.0,9.0,0.6275,0.2222,5.0,7.0,0.7143,,97.5289,106.259,2.09413,46.4699,5.50866,0.762383,4.74628,5.69925,22.0375,1.76664,3.93262,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23708,2000-10-15
Rahmir Moore,Delaware St.,MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,6-2,0,-0.0963555,90.7801,2.6,2026,70501,"Philadelphia, PA",,1.16006237,16.0,31.0,8.0,26.0,0.5161,0.3077,1.0,1.0,1.0,,110.862,118.695,1.14722,65.9799,-5.00671,-2.99807,-2.00864,-4.66233,21.3038,-2.53352,-2.12881,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,Wing G,7.25452,2000-07-26
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,6-4,12,-0.340417,88.3462,2.5,2026,70621,"Newburgh, IN",24.0,1.42101717,9.0,22.0,4.0,16.0,0.4091,0.25,1.0,1.0,1.0,,120.301,118.912,1.38526,102.864,-4.40721,-1.49645,-2.91076,-4.98875,25.8969,-2.76014,-2.22861,0.3125,1.625,1.9375,0.8438,0.375,0.0938,6.7188,Combo G,11.5599,2001-06-17
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,6-7,9,2.19341,113.202,3.6,2026,70754,"Mississauga, Canada",,1.14085497,121.0,170.0,31.0,68.0,0.7118,0.4559,28.0,30.0,0.9333,,107.198,107.071,2.80272,162.41,1.9565,0.876564,1.07994,2.19852,29.7258,1.30443,0.894095,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,2001-06-09
Rienk Mast,Nebraska,B10,31,69.4,112.4,25.9,51.7,55.04,9.3,13.7,19.9,13.9,63,77,0.818,108,200,0.54,47,145,0.324,1.2,0.9,22.3,Sr,6-10,51,3.25717,124.824,2.4,2026,70772,"Groningen, Netherlands",,1.66668578,64.0,93.0,44.0,107.0,0.6882,0.4112,2.0,2.0,1.0,,101.472,95.0819,3.87742,147.763,5.27835,2.95113,2.32722,4.78466,28.8903,3.2043,1.58036,2.2258,3.5484,5.7742,2.9032,0.4194,0.2581,13.5484,Stretch 4,9.69102,2001-07-19
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0.0,9.6,1.1,65.3,Sr,7-1,22,0.00729685,92.2013,5.0,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28.0,38.0,4.0,10.0,0.7368,0.4,21.0,24.0,0.875,,103.341,101.658,1.82202,92.9374,2.60741,-3.01292,5.62033,0.179344,16.25,-3.27475,3.45409,1.3,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,2000-10-15
Steele Venters,Gonzaga,WCC,27,30.7,113.2,15.1,54.4,55.97,1.4,7.9,9.9,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.830609,108.036,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6.0,8.0,2.0,8.0,0.75,0.25,2.0,2.0,1.0,,97.304,94.0229,2.08364,71.397,3.83821,1.78384,2.05437,3.15685,15.063,0.433065,2.72379,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.6503,2001-05-16
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,6-0,5,2.45188,115.186,2.4,2026,70961,"Oklahoma City, OK",,1.17810805,35.0,80.0,81.0,186.0,0.4375,0.4355,0.0,0.0,,,115.665,117.962,1.70885,119.881,-3.83811,-0.293909,-3.5442,-1.06987,30.2031,1.30475,-2.37462,0.3125,1.6562,1.9688,2.6875,0.9062,0.125,16.75,Scoring PG,8.4363,2000-10-15
Rashaun Agee,Texas A&M,SEC,32,65.4,121.9,25.1,52.0,57.69,10.7,25.2,16.7,10.9,135,180,0.75,137,242,0.566,20,79,0.253,3.5,2.0,56.1,Sr,6-7,12,3.68044,132.609,3.5,2026,71003,"Chicago, IL",,1.79059386,117.0,191.0,20.0,51.0,0.6126,0.3922,20.0,21.0,0.9524,,102.255,95.7661,3.47784,195.55,8.39206,4.32005,4.07201,8.34396,26.7781,5.66775,2.67621,2.6562,6.2188,8.875,2.4062,0.9688,0.8438,14.6562,PF/C,5.04905,2000-11-02
Tyler Cochran,Rhode Island,A10,32,76.6,106.9,26.4,50.3,54.6,5.3,19.2,13.8,15.4,115,159,0.723,106,211,0.502,55,164,0.335,0.8,5.2,42.4,Sr,6-2,23,2.48997,115.497,3.5,2026,71025,"Bolingbrook, IL",,0.86565094,83.0,151.0,23.0,60.0,0.5497,0.3833,0.0,0.0,,,95.2144,95.1872,4.13321,229.244,4.67972,1.49586,3.18386,6.24259,30.8719,2.54465,3.69794,1.375,4.8125,6.1875,1.8125,2.6562,0.1875,15.375,Wing G,9.97259,2000-10-15
Curt Lewis,Southern Miss,SB,33,58.7,108.4,11.0,51.6,52.06,2.2,8.3,5.3,12.7,11,19,0.579,9,27,0.333,49,133,0.368,1.4,1.6,11.9,Sr,6-5,1,0.138055,93.765,2.5,2026,71299,"Louisville, KY",,1.22717145,6.0,14.0,3.0,13.0,0.4286,0.2308,1.0,1.0,1.0,,110.702,113.017,1.71654,115.78,-1.01977,-0.650918,-0.368857,-1.13704,23.2086,-1.14622,0.00918006,0.4571,1.6857,2.1429,0.7714,0.6571,0.2571,5.4,Wing G,9.73151,2000-10-15
Chase Johnston,High Point,BSth,29,28.9,139.5,14.4,68.6,69.22,1.9,5.4,4.9,6.5,4,4,1.0,0,4,0.0,54,114,0.474,0.3,3.1,3.4,Sr,6-3,99,1.42636,125.341,4.4,2026,71441,"Boca Raton, FL",,2.50026671,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,,,104.279,109.56,1.05091,58.9879,2.84456,4.20605,-1.36149,4.66794,12.65,4.20146,0.466477,0.2188,0.5312,0.75,0.4688,0.6875,0.0312,6.125,Scoring PG,17.6904,2000-10-15
Devan Cambridge,UCF,B12,32,43.3,117.3,15.0,51.2,55.49,6.6,16.4,7.7,12.1,43,61,0.705,42,68,0.618,15,58,0.259,3.8,1.7,48.4,Sr,6-6,35,1.43447,115.913,4.6,2026,71448,"Nashville, TN",57.2,1.5000889,42.0,63.0,0.0,5.0,0.6667,0.0,13.0,14.0,0.9286,,108.443,102.791,1.88208,107.628,5.51603,2.55,2.96603,3.55097,17.475,1.14479,2.40618,1.0312,2.4688,3.5,0.8438,0.5312,0.5938,5.375,Wing F,5.89054,2001-01-30
