family,calibrator,log_loss,brier,ece,sharpness,ll_delta_vs_raw
elastic_net,platt,0.5256,0.17286,0.09884,0.04081,0.02719
elastic_net,isotonic,0.50342,0.1659,0.03031,0.08779,0.005
elastic_net,beta,0.49712,0.16531,0.11169,0.07838,-0.0013
elastic_net,venn_abers,0.50342,0.1659,0.03031,0.08779,0.005
gp,platt,0.52766,0.17414,0.09402,0.04431,0.02237
gp,isotonic,0.51618,0.1738,0.07287,0.09488,0.01089
gp,beta,0.50377,0.16856,0.10534,0.08485,-0.00153
gp,venn_abers,0.51618,0.1738,0.07287,0.09488,0.01089
lightgbm,platt,0.51152,0.1655,0.08196,0.05118,0.0196
lightgbm,isotonic,0.48389,0.16021,0.08764,0.10637,-0.00802
lightgbm,beta,0.49244,0.16003,0.10109,0.09213,0.00052
lightgbm,venn_abers,0.48389,0.16021,0.08764,0.10637,-0.00802
xgboost,platt,0.50996,0.16465,0.08199,0.05736,0.00935
xgboost,isotonic,0.5491,0.17087,0.11898,0.12112,0.04848
xgboost,beta,0.50433,0.16213,0.13311,0.10523,0.00371
xgboost,venn_abers,0.5491,0.17087,0.11898,0.12112,0.04848
