sim,champion,final4
0,Florida,Duke|Ohio St.|Iowa St.|Florida
1,Duke,Duke|Michigan|Tennessee|Arkansas
2,Arizona,Duke|Michigan|Arizona|Florida
3,Illinois,Alabama|UConn|Arizona|Illinois
4,South Fla.,South Fla.|Texas Tech|Auburn|Florida
5,Duke,Duke|Gonzaga|Iowa St.|Arkansas
6,Virginia,Indiana|Saint Mary's (CA)|Louisville|Virginia
7,Illinois,Duke|Ohio St.|Arizona|Illinois
8,Florida,Duke|UConn|Louisville|Florida
9,Illinois,Duke|Saint Mary's (CA)|Arizona|Illinois
10,Purdue,Purdue|Ohio St.|Tennessee|Illinois
11,Michigan,Houston|Michigan|Tennessee|Florida
12,Louisville,Wisconsin|Vanderbilt|Louisville|North Carolina
13,Illinois,Houston|Michigan|Iowa St.|Illinois
14,Illinois,Nebraska|Iowa|Belmont|Illinois
15,Houston,Houston|Michigan|Iowa St.|VCU
16,Louisville,Houston|Michigan|Louisville|McNeese
17,Houston,Houston|Texas Tech|Oklahoma|Illinois
18,Vanderbilt,Houston|Vanderbilt|Arizona|Illinois
19,Florida,SMU|Michigan|Arizona|Florida
20,Duke,Duke|Michigan|Iowa St.|Illinois
21,Texas Tech,Purdue|Texas Tech|Arizona|McNeese
22,Vanderbilt,Houston|Vanderbilt|Texas A&M|Miami (FL)
23,Michigan,South Fla.|Michigan|Michigan St.|Florida
24,Duke,Duke|Michigan|Iowa St.|Illinois
25,Illinois,South Fla.|Vanderbilt|Louisville|Illinois
26,McNeese,Duke|Vanderbilt|Tennessee|McNeese
27,Purdue,Purdue|Saint Mary's (CA)|Tennessee|Illinois
28,Iowa St.,Duke|Saint Mary's (CA)|Iowa St.|Illinois
29,Duke,Duke|Vanderbilt|Iowa St.|NC State
30,Iowa St.,Purdue|Iowa|Iowa St.|Virginia
31,Iowa St.,Houston|UConn|Iowa St.|Miami (OH)
32,Texas Tech,Duke|Texas Tech|Michigan St.|Illinois
33,Illinois,South Fla.|Vanderbilt|Arizona|Illinois
34,Michigan,Duke|Michigan|Virginia Tech|McNeese
35,McNeese,Nebraska|Michigan|Iowa St.|McNeese
36,Duke,Duke|Michigan|Louisville|St. John's (NY)
37,Saint Mary's (CA),Duke|Saint Mary's (CA)|Arizona|Virginia
38,Illinois,Duke|Ohio St.|Iowa St.|Illinois
39,Houston,Houston|Saint Mary's (CA)|Arizona|Miami (OH)
40,Purdue,Purdue|Michigan|Iowa St.|Virginia
41,Illinois,Nebraska|Texas Tech|Tennessee|Illinois
42,Michigan,Purdue|Michigan|Iowa St.|Illinois
43,Louisville,Houston|Michigan|Louisville|North Carolina
44,Florida,Houston|Texas Tech|Arizona|Florida
45,Duke,Duke|Michigan|Arizona|North Carolina
46,Florida,Alabama|Michigan|Tennessee|Florida
47,Florida,Purdue|Gonzaga|Michigan St.|Florida
48,Duke,Duke|Gonzaga|Arizona|Illinois
49,Duke,Duke|Texas Tech|Iowa St.|Virginia
50,NC State,Houston|Ohio St.|Tennessee|NC State
51,Virginia,Duke|Iowa|Tennessee|Virginia
52,Duke,Duke|Vanderbilt|Arizona|Florida
53,Iowa St.,Duke|Michigan|Iowa St.|Virginia
54,Florida,Duke|UConn|Iowa St.|Florida
55,Houston,Houston|Vanderbilt|Iowa St.|McNeese
56,Tennessee,Kansas|UConn|Tennessee|St. John's (NY)
57,Duke,Duke|Michigan|Arizona|Illinois
58,Illinois,Purdue|Michigan|Arizona|Illinois
