team,seed,region,P(Sweet16),P(Elite8),P(FinalFour)
South Fla.,13,East,0.2473,0.1197,0.0889
McNeese,14,Midwest,0.2463,0.1191,0.0859
Cincinnati,12,Midwest,0.2719,0.1049,0.0534
Santa Clara,10,Midwest,0.1473,0.0688,0.0303
SMU,10,East,0.1337,0.0493,0.0283
Indiana,11,East,0.1458,0.0497,0.0232
Auburn,10,South,0.1439,0.0581,0.0192
Texas A&M,11,South,0.1577,0.0445,0.0131
Texas,11,West,0.1451,0.0368,0.0111
Oklahoma,12,South,0.0704,0.0217,0.0081
San Diego St.,12,East,0.077,0.0241,0.0066
Washington,15,East,0.0643,0.0163,0.0059
Miami (OH),16,Midwest,0.0622,0.0183,0.005
UCF,13,Midwest,0.0613,0.0188,0.0047
Virginia Tech,14,South,0.0721,0.0173,0.0047
Boise St.,15,Midwest,0.0439,0.0148,0.0046
VCU,11,Midwest,0.0924,0.0189,0.0043
Baylor,13,South,0.0466,0.0127,0.0042
Missouri,15,West,0.0551,0.0183,0.0041
Stanford,16,East,0.0636,0.0176,0.0037
West Virginia,15,South,0.0458,0.01,0.0036
Akron,14,East,0.0409,0.0076,0.0033
TCU,10,West,0.0445,0.0132,0.0028
Seton Hall,14,West,0.0702,0.0138,0.0026
Tulsa,13,West,0.0376,0.0079,0.0022
Florida St.,16,West,0.039,0.0094,0.0021
New Mexico,12,West,0.0482,0.0094,0.0019
Belmont,16,South,0.0394,0.0074,0.0019
