Team,Record,NET Rank,NET Delta
Duke,32-2,1,
Michigan,31-2,2,
Arizona,32-2,3,
Florida,26-7,4,
Houston,28-6,5,2.0
Gonzaga,30-3,6,-1.0
Iowa State,27-7,7,1.0
Illinois,24-8,8,-2.0
Purdue,26-8,9,1.0
Connecticut,29-5,10,-1.0
Michigan State,25-7,11,
Virginia,29-5,12,1.0
Nebraska,26-6,13,-1.0
Vanderbilt,26-7,14,2.0
Louisville,23-10,15,-1.0
Arkansas,25-8,16,2.0
Alabama,23-9,17,
Texas Tech,22-10,18,-3.0
Tennessee,22-11,19,2.0
Saint John's,28-6,20,2.0
Kansas,23-10,21,-2.0
Saint Mary's College,26-5,22,-2.0
BYU,23-11,23,1.0
North Carolina,24-8,24,-1.0
Wisconsin,24-10,25,1.0
Iowa,21-12,26,-1.0
Utah State,27-6,27,2.0
Kentucky,21-13,28,
Saint Louis,27-5,29,-2.0
Ohio State,21-12,30,
UCLA,23-11,31,3.0
Miami (FL),25-8,32,
Georgia,22-10,33,-2.0
Clemson,24-10,34,2.0
Villanova,24-8,35,-2.0
North Carolina State,20-13,36,-1.0
SMU,20-13,37,2.0
TCU,22-11,38,2.0
Auburn,17-16,39,-1.0
Santa Clara,25-8,40,2.0
Indiana,18-14,41,-4.0
Texas,17-14,42,-1.0
Texas A&M,21-11,43,
VCU,26-7,44,
San Diego State,21-11,45,2.0
New Mexico,22-10,46,-1.0
Oklahoma,19-15,47,7.0
Cincinnati,18-15,48,-2.0
South Florida,23-8,49,
Tulsa,24-7,50,
Baylor,15-16,51,-3.0
UCF,21-11,52,-1.0
Akron,27-5,53,-1.0
Seton Hall,21-12,54,2.0
Virginia Tech,19-13,55,-2.0
McNeese,26-5,56,6.0
Washington,16-17,57,4.0
Missouri,20-12,58,2.0
West Virginia,18-14,59,-1.0
Boise State,19-11,60,-3.0
Stanford,20-12,61,-2.0
Florida State,18-15,62,7.0
Belmont,25-6,63,
Miami (OH),28-1,64,-9.0
Northwestern,15-19,65,5.0
Yale,22-5,66,
Wake Forest,17-16,67,-3.0
California,20-11,68,-3.0
Grand Canyon,20-12,69,-1.0
Nevada,22-12,70,3.0
Northern Iowa,22-12,71,1.0
Arizona State,17-16,72,-5.0
Dayton,23-10,73,2.0
Oklahoma State,19-14,74,5.0
High Point,27-4,75,1.0
Colorado,17-15,76,-5.0
LSU,15-17,77,
USC,17-14,78,
Minnesota,15-17,79,-5.0
Providence,15-18,80,4.0
Wichita State,21-10,81,-1.0
Creighton,15-17,82,-1.0
Ole Miss,15-20,83,9.0
Utah Valley,22-8,84,1.0
Butler,16-16,85,-3.0
Syracuse,15-17,86,-3.0
Colorado State,20-12,87,
Hofstra,22-10,88,
Stephen F. Austin,26-5,89,-3.0
Georgetown,16-18,90,5.0
George Washington,17-15,91,-1.0
George Mason,22-9,92,-3.0
Notre Dame,13-18,93,
Illinois State,19-12,94,
Marquette,12-20,95,-4.0
UNCW,24-6,96,
Xavier,15-18,97,
Wyoming,17-14,98,
Kansas State,12-20,99,
California Baptist,25-8,100,3.0
DePaul,16-16,101,
Saint Thomas,21-9,102,3.0
Pittsburgh,13-20,103,6.0
Murray State,20-12,104,4.0
Hawaii,22-8,105,7.0
Liberty,22-7,106,-6.0
Sam Houston State,19-11,107,-3.0
South Carolina,13-19,108,-1.0
Oregon,12-20,109,-7.0
UIC,17-15,110,3.0
UNLV,16-16,111,
UC Irvine,21-11,112,6.0
Bradley,20-12,113,1.0
Mississippi State,13-19,114,-4.0
North Dakota State,24-7,115,
Davidson,18-13,116,-10.0
Pacific,16-15,117,-1.0
UAB,19-12,118,-1.0
Saint Joseph's,20-11,119,5.0
San Francisco,16-16,120,-1.0
Southern Illinois,15-16,121,
Seattle University,18-13,122,
FAU,16-15,123,
UC San Diego,21-11,124,-4.0
Troy,20-11,125,7.0
UTRGV,17-14,126,8.0
Wright State,21-11,127,6.0
Montana State,15-14,128,-1.0
William & Mary,18-12,129,-1.0
Winthrop,20-11,130,
Utah,10-22,131,-2.0
Duquesne,16-15,132,8.0
Rutgers,14-19,133,10.0
Toledo,17-15,134,12.0
Memphis,13-19,135,-10.0
North Texas,17-14,136,9.0
Navy,24-7,137,1.0
Maryland,12-21,138,13.0
Penn State,12-20,139,-8.0
East Tennessee State,21-11,140,-14.0
Kent State,22-9,141,6.0
UC Santa Barbara,16-14,142,-5.0
Saint Bonaventure,16-17,143,15.0
Cornell,13-13,144,-3.0
Idaho,18-14,145,16.0
Washington State,11-20,146,-4.0
Portland State,17-11,147,-11.0
Robert Morris,20-11,148,-13.0
Northern Colorado,17-12,149,-10.0
Penn,16-11,150,-2.0
Harvard,16-12,151,-1.0
Rhode Island,16-16,152,-8.0
Fresno State,12-19,153,-4.0
Arkansas State,18-12,154,-1.0
Valparaiso,17-15,155,2.0
Bowling Green,15-14,156,-1.0
Boston College,11-20,157,2.0
Towson,17-15,158,2.0
Western Kentucky,16-14,159,-3.0
UTA,16-14,160,2.0
Kennesaw State,18-13,161,9.0
Middle Tennessee,14-15,162,-8.0
Charleston,20-11,163,
Austin Peay,20-9,164,1.0
Richmond,14-17,165,-13.0
Central Arkansas,20-12,166,
Temple,15-16,167,-3.0
Monmouth,18-15,168,1.0
Georgia Tech,11-20,169,-2.0
Charlotte,16-17,170,13.0
Oregon State,17-16,171,
Marshall,18-13,172,-4.0
Tennessee State,20-9,173,-1.0
Fordham,14-15,174,
Oakland,15-16,175,2.0
Utah Tech,16-15,176,-1.0
Cal State Fullerton,16-16,177,3.0
UC Davis,17-14,178,-2.0
Loyola-Marymount,14-17,179,
Merrimack,23-11,180,-7.0
Marist,18-12,181,1.0
Siena,23-11,182,6.0
Mercer,16-13,183,-2.0
Northern Kentucky,17-14,184,-6.0
Columbia,14-12,185,-1.0
Furman,19-12,186,8.0
Cal State Northridge,18-14,187,3.0
South Alabama,19-11,188,-3.0
New Mexico State,13-16,189,-3.0
Queens,20-13,190,-3.0
Texas A&M-Corpus Christi,14-15,191,5.0
Appalachian State,17-13,192,-3.0
Lipscomb,17-13,193,
Montana,15-15,194,5.0
Buffalo,15-15,195,3.0
FIU,12-17,196,-5.0
Long Island,24-10,197,3.0
Drake,12-20,198,-3.0
Campbell,14-18,199,-7.0
UMass,16-16,200,3.0
Howard,19-10,201,1.0
UMBC,22-8,202,3.0
Weber State,14-16,203,-6.0
Eastern Washington,13-19,204,-3.0
Louisiana Tech,17-14,205,8.0
Missouri State,13-18,206,8.0
Tennessee-Martin,19-11,207,-3.0
Tulane,17-15,208,-2.0
James Madison,17-15,209,-2.0
South Dakota State,11-18,210,-1.0
Indiana State,9-21,211,4.0
Drexel,16-16,212,-2.0
Quinnipiac,18-13,213,-1.0
Southern Miss,17-16,214,4.0
New Orleans,15-18,215,-7.0
Jacksonville State,12-17,216,-5.0
Samford,16-14,217,
Green Bay,16-15,218,-2.0
Youngstown State,12-17,219,1.0
Georgia Southern,19-16,220,-1.0
Detroit,15-15,221,8.0
Portland,13-19,222,-1.0
Elon,12-18,223,-1.0
Vermont,20-12,224,-1.0
Southeast Missouri,17-13,225,
Cal Poly,12-19,226,2.0
Colgate,16-15,227,3.0
Coastal Carolina,18-13,228,3.0
Western Carolina,13-16,229,-3.0
Tarleton State,10-18,230,-6.0
Ohio,13-17,231,-4.0
Stony Brook,15-15,232,
Saint Peter's,16-12,233,
San Diego,10-21,234,
Texas State,17-13,235,2.0
Idaho State,10-20,236,
Eastern Michigan,9-21,237,3.0
